
A continuación se muestran las soluciones viables para el KUKA KR6

 Solución 3 

C_PTP PTP{E6AXIS: A1 14.302131, A2 -80.982308, A3 145.874073, A4 -73.165747, A5 87.540350, A6 -24.302700}
C_PTP PTP{E6AXIS: A1 13.501911, A2 -86.918494, A3 145.392445, A4 -68.512950, A5 80.361490, A6 -31.045237}
C_PTP PTP{E6AXIS: A1 10.205098, A2 -95.356078, A3 144.358828, A4 -53.461408, A5 65.086225, A6 -45.388984}
C_PTP PTP{E6AXIS: A1 8.183377, A2 -98.145694, A3 143.887403, A4 -46.012210, A5 60.556688, A6 -52.489417}
C_PTP PTP{E6AXIS: A1 6.490824, A2 -99.882044, A3 143.539124, A4 -40.269746, A5 57.936725, A6 -58.020175}
C_PTP PTP{E6AXIS: A1 4.986277, A2 -101.100961, A3 143.255614, A4 -35.486160, A5 56.224238, A6 -62.684114}
C_PTP PTP{E6AXIS: A1 3.607807, A2 -102.004978, A3 143.012866, A4 -31.346431, A5 55.040901, A6 -66.770909}
C_PTP PTP{E6AXIS: A1 2.323270, A2 -102.693161, A3 142.798558, A4 -27.687092, A5 54.202550, A6 -70.429245}
C_PTP PTP{E6AXIS: A1 1.114400, A2 -103.221997, A3 142.605485, A4 -24.413193, A5 53.605167, A6 -73.745095}
C_PTP PTP{E6AXIS: A1 -0.029858, A2 -103.627378, A3 142.429017, A4 -21.464991, A5 53.183553, A6 -76.772511}
C_PTP PTP{E6AXIS: A1 -1.116542, A2 -103.934058, A3 142.265955, A4 -18.802334, A5 52.893510, A6 -79.547868}
C_PTP PTP{E6AXIS: A1 -2.150357, A2 -104.160231, A3 142.113967, A4 -16.396593, A5 52.703224, A6 -82.097157}
C_PTP PTP{E6AXIS: A1 -3.134602, A2 -104.319942, A3 141.971271, A4 -14.226227, A5 52.588729, A6 -84.439963}
C_PTP PTP{E6AXIS: A1 -4.071711, A2 -104.424455, A3 141.836467, A4 -12.274236, A5 52.531346, A6 -86.591746}
C_PTP PTP{E6AXIS: A1 -4.963581, A2 -104.483068, A3 141.708430, A4 -10.526659, A5 52.516155, A6 -88.565185}
C_PTP PTP{E6AXIS: A1 -5.811761, A2 -104.503623, A3 141.586242, A4 -8.971670, A5 52.531034, A6 -90.370980}
C_PTP PTP{E6AXIS: A1 -6.617574, A2 -104.492841, A3 141.469154, A4 -7.599023, A5 52.566021, A6 -92.018355}
C_PTP PTP{E6AXIS: A1 -7.382194, A2 -104.456548, A3 141.356555, A4 -6.399712, A5 52.612882, A6 -93.515367}
C_PTP PTP{E6AXIS: A1 -8.106683, A2 -104.399837, A3 141.247952, A4 -5.365755, A5 52.664787, A6 -94.869104}
C_PTP PTP{E6AXIS: A1 -8.792026, A2 -104.327182, A3 141.142958, A4 -4.490058, A5 52.716083, A6 -96.085818}
C_PTP PTP{E6AXIS: A1 -9.443832, A2 -104.241857, A3 141.040530, A4 -3.742991, A5 52.764284, A6 -97.189819}
C_PTP PTP{E6AXIS: A1 -10.077341, A2 -104.144380, A3 140.938191, A4 -3.061407, A5 52.811971, A6 -98.235037}
C_PTP PTP{E6AXIS: A1 -10.702148, A2 -104.034314, A3 140.834439, A4 -2.413652, A5 52.860619, A6 -99.250451}
C_PTP PTP{E6AXIS: A1 -11.317559, A2 -103.912584, A3 140.729330, A4 -1.802805, A5 52.909045, A6 -100.233704}
C_PTP PTP{E6AXIS: A1 -11.924095, A2 -103.779849, A3 140.622730, A4 -1.225873, A5 52.956785, A6 -101.187301}
C_PTP PTP{E6AXIS: A1 -12.522213, A2 -103.636704, A3 140.514518, A4 -0.680209, A5 53.003464, A6 -102.113445}
C_PTP PTP{E6AXIS: A1 -13.112310, A2 -103.483688, A3 140.404587, A4 -0.163482, A5 53.048781, A6 -103.014069}
C_PTP PTP{E6AXIS: A1 -13.694734, A2 -103.321291, A3 140.292840, A4 0.326377, A5 53.092491, A6 -103.890878}
C_PTP PTP{E6AXIS: A1 -14.269793, A2 -103.149968, A3 140.179188, A4 0.791211, A5 53.134402, A6 -104.745381}
C_PTP PTP{E6AXIS: A1 -14.837759, A2 -102.970135, A3 140.063552, A4 1.232674, A5 53.174361, A6 -105.578925}
C_PTP PTP{E6AXIS: A1 -15.398875, A2 -102.782183, A3 139.945860, A4 1.652255, A5 53.212248, A6 -106.392717}
C_PTP PTP{E6AXIS: A1 -15.953360, A2 -102.586473, A3 139.826044, A4 2.051304, A5 53.247976, A6 -107.187841}
C_PTP PTP{E6AXIS: A1 -16.501410, A2 -102.383346, A3 139.704043, A4 2.431047, A5 53.281481, A6 -107.965275}
C_PTP PTP{E6AXIS: A1 -17.043204, A2 -102.173123, A3 139.579800, A4 2.792605, A5 53.312720, A6 -108.725910}
C_PTP PTP{E6AXIS: A1 -17.578905, A2 -101.956104, A3 139.453263, A4 3.137008, A5 53.341672, A6 -109.470552}
C_PTP PTP{E6AXIS: A1 -18.108661, A2 -101.732576, A3 139.324384, A4 3.465199, A5 53.368329, A6 -110.199942}
C_PTP PTP{E6AXIS: A1 -18.632611, A2 -101.502810, A3 139.193118, A4 3.778054, A5 53.392700, A6 -110.914756}
C_PTP PTP{E6AXIS: A1 -19.150881, A2 -101.267063, A3 139.059422, A4 4.076383, A5 53.414805, A6 -111.615619}
C_PTP PTP{E6AXIS: A1 -19.663590, A2 -101.025580, A3 138.923259, A4 4.360938, A5 53.434677, A6 -112.303105}
C_PTP PTP{E6AXIS: A1 -20.170849, A2 -100.778596, A3 138.784592, A4 4.632421, A5 53.452358, A6 -112.977746}
C_PTP PTP{E6AXIS: A1 -20.672761, A2 -100.526334, A3 138.643387, A4 4.891489, A5 53.467898, A6 -113.640039}
C_PTP PTP{E6AXIS: A1 -21.169423, A2 -100.269009, A3 138.499613, A4 5.138757, A5 53.481357, A6 -114.290441}
C_PTP PTP{E6AXIS: A1 -21.660929, A2 -100.006823, A3 138.353241, A4 5.374804, A5 53.492801, A6 -114.929384}
C_PTP PTP{E6AXIS: A1 -22.147365, A2 -99.739975, A3 138.204243, A4 5.600172, A5 53.502302, A6 -115.557270}
